,days,len_day_data,neg_res,neut_tweet,pos_tweet
0,2018-06-18 22:45:00,374,16.310160427807485,45.18716577540107,38.50267379679144
1,2018-06-15 16:15:00,405,12.345679012345679,54.074074074074076,33.58024691358025
2,2018-06-18 14:00:00,390,10.0,45.64102564102564,44.35897435897436
3,2018-06-16 15:00:00,486,11.11111111111111,44.23868312757202,44.650205761316876
4,2018-06-13 22:00:00,100,17.0,43.0,40.0
5,2018-06-19 03:45:00,370,8.108108108108109,65.94594594594595,25.945945945945947
6,2018-06-12 18:45:00,45,6.666666666666667,53.333333333333336,40.0
7,2018-06-13 15:00:00,50,18.0,54.0,28.0
8,2018-06-12 21:45:00,64,17.1875,43.75,39.0625
9,2018-06-03 11:45:00,50,18.0,38.0,44.0
10,2018-06-09 11:15:00,57,8.771929824561404,42.10526315789474,49.12280701754386
11,2018-06-06 21:30:00,57,22.80701754385965,40.35087719298246,36.8421052631579
12,2018-06-04 15:00:00,47,21.27659574468085,48.93617021276596,29.78723404255319
13,2018-06-05 16:30:00,60,10.0,50.0,40.0
14,2018-06-10 18:15:00,65,4.615384615384615,47.69230769230769,47.69230769230769
15,2018-06-06 10:00:00,51,15.686274509803921,41.1764705882353,43.13725490196079
16,2018-06-03 14:30:00,45,15.555555555555555,31.11111111111111,53.333333333333336
17,2018-06-13 03:00:00,39,5.128205128205129,46.15384615384615,48.717948717948715
18,2018-06-16 23:00:00,475,7.157894736842105,57.26315789473684,35.578947368421055
19,2018-06-09 16:30:00,52,15.384615384615385,38.46153846153846,46.15384615384615
20,2018-06-16 22:30:00,430,8.13953488372093,57.44186046511628,34.41860465116279
21,2018-06-18 06:15:00,369,7.8590785907859075,46.612466124661246,45.52845528455285
22,2018-06-14 10:30:00,51,25.49019607843137,43.13725490196079,31.372549019607842
23,2018-06-06 15:00:00,43,25.58139534883721,39.53488372093023,34.883720930232556
24,2018-06-14 16:15:00,54,20.37037037037037,44.44444444444444,35.18518518518518
25,2018-06-18 05:45:00,297,7.407407407407407,57.91245791245791,34.68013468013468
26,2018-06-15 15:45:00,315,9.523809523809524,50.476190476190474,40.0
27,2018-06-07 08:30:00,60,5.0,56.666666666666664,38.333333333333336
28,2018-06-17 20:00:00,387,9.043927648578812,54.00516795865633,36.950904392764855
29,2018-06-06 16:30:00,48,12.5,39.583333333333336,47.916666666666664
30,2018-06-19 16:45:00,396,15.151515151515152,53.535353535353536,31.31313131313131
